ph,turbidity,temperature,quality
8.062,3.246,21.699,Good
11.811,26.311,33.924,Unsafe
7.982,1.43,23.436,Good
8.032,7.301,27.61,Poor
8.083,3.369,26.327,Good
8.144,2.259,17.909,Good
8.128,5.622,20.536,Poor
8.069,2.596,25.115,Good
8.057,2.123,26.406,Good
7.689,1.921,19.788,Good
8.173,1.752,19.814,Good
8.12,2.473,20.752,Good
8.178,4.654,19.944,Poor
11.499,22.657,15.046,Unsafe
7.932,3.438,30.326,Good
7.997,1.301,26.454,Good
7.834,2.485,20.752,Good
8.093,2.489,27.989,Good
7.967,1.931,27.87,Good
7.894,3.19,29.571,Good
8.049,1.417,24.08,Good
6.902,0.241,23.847,Excellent
7.043,0.674,22.908,Excellent
7.018,9.515,23.423,Poor
7.963,5.092,27.237,Poor
7.819,2.775,27.686,Good
8.098,4.417,23.655,Poor
8.022,2.45,23.768,Good
8.478,13.801,17.977,Very Poor
8.083,3.505,30.023,Good
8.128,2.511,24.651,Good
8.218,3.485,17.968,Good
8.105,3.673,24.829,Good
8.216,2.88,17.015,Good
7.959,0.827,27.734,Good
5.964,7.922,19.166,Poor
7.994,3.274,27.188,Good
8.043,4.885,27.131,Poor
8.041,3.344,30.665,Good
7.968,3.3,28.263,Good
7.928,3.154,30.272,Good
8.062,3.629,25.271,Good
7.255,0.837,22.507,Excellent
7.951,2.995,26.511,Good
7.327,0.527,22.197,Excellent
8.122,3.002,26.622,Good
8.115,5.214,27.422,Poor
7.457,6.334,18.305,Poor
8.184,2.846,17.226,Good
8.073,3.763,23.788,Good
7.945,0.935,27.276,Good
8.105,2.934,29.666,Good
7.984,1.367,27.845,Good
7.833,8.42,21.686,Poor
8.178,2.427,18.466,Good
6.625,2.546,20.347,Good
6.547,3.153,19.824,Good
7.048,4.18,25.417,Poor
8.06,1.764,22.1,Good
7.272,0.736,20.023,Excellent
4.272,48.377,25.781,Unsafe
8.153,1.604,18.714,Good
8.142,3.606,25.242,Good
7.88,0.802,23.484,Good
7.931,3.182,31.842,Good
4.166,33.253,30.0,Unsafe
7.95,3.123,29.288,Good
8.099,4.626,23.612,Poor
8.128,3.49,23.997,Good
8.083,2.872,25.325,Good
8.057,2.561,25.497,Good
8.172,3.533,18.409,Good
7.264,1.933,28.056,Good
7.963,9.828,23.698,Poor
7.926,3.111,27.288,Good
8.187,3.324,18.685,Good
8.113,2.982,20.783,Good
8.032,2.045,24.094,Good
8.102,4.37,23.626,Poor
8.063,3.817,20.681,Good
4.349,59.729,19.492,Unsafe
7.064,5.695,26.05,Poor
7.986,0.895,27.344,Good
8.082,2.655,26.235,Good
7.991,2.976,28.901,Good
7.962,7.333,28.373,Poor
8.207,3.382,17.436,Good
7.897,3.045,27.244,Good
8.108,3.106,24.844,Good
8.094,3.088,26.509,Good
7.956,4.131,19.322,Poor
8.027,3.965,23.817,Good
8.183,4.072,27.939,Poor
8.102,1.131,24.703,Good
8.181,4.167,21.677,Poor
7.952,3.088,25.73,Good
8.117,2.591,26.878,Good
8.108,2.029,27.996,Good
8.068,4.447,29.115,Poor
7.931,0.945,26.959,Good
8.028,2.38,21.615,Good
7.956,0.699,27.633,Good
8.032,3.543,28.442,Good
8.154,2.969,21.105,Good
8.129,3.002,24.458,Good
2.961,29.71,23.883,Unsafe
8.206,3.921,18.137,Good
8.041,2.729,22.049,Good
7.349,15.001,29.003,Very Poor
8.088,4.995,23.998,Poor
8.087,2.198,27.801,Good
6.867,0.585,22.387,Excellent
8.111,2.728,18.171,Good
8.101,3.689,23.297,Good
8.145,8.213,21.558,Poor
6.91,0.192,20.395,Excellent
7.027,0.519,20.491,Excellent
6.348,10.21,25.733,Very Poor
6.678,14.512,32.657,Very Poor
8.098,3.862,19.555,Good
7.718,1.211,26.507,Good
8.144,2.908,21.18,Good
8.144,2.255,24.163,Good
8.085,4.485,27.338,Poor
7.959,1.29,27.049,Good
8.135,3.346,24.324,Good
8.083,3.723,28.719,Good
8.056,2.279,26.118,Good
2.864,30.915,13.146,Unsafe
7.992,4.798,24.618,Poor
8.166,2.576,18.047,Good
5.894,18.209,20.517,Very Poor
8.064,1.655,21.252,Good
7.96,1.42,26.902,Good
8.033,5.791,23.507,Poor
8.769,4.8,25.396,Poor
8.066,3.876,24.4,Good
6.469,17.977,32.206,Very Poor
8.12,4.731,25.861,Poor
